real_name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
gen=131_member=3083_pso,0.020674,0.92427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.396807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=132_member=3187_pso,0.000643514,1.0,0.0,0.0545127,0.0,0.0,0.0,0.567292,0.344411,0.0,0.0,0.0830887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=133_member=3230_pso,0.000538616,1.0,0.0,0.556112,0.0,0.0,0.0,0.79747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=137_member=3647_pso,0.990542,0.61275,0.0,0.973167,0.0,0.0,0.0,0.239202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383351,0.0,0.215624,0.0,0.0
gen=138_member=3724_pso,0.376792,0.0,0.0,0.0,0.0,0.0,0.0,0.741117,0.0,0.0,0.0,0.541111,0.0,0.0,0.0,0.0,0.0,0.0,0.730054,0.0,0.0,0.0,0.0,0.0,0.0,0.901071,0.0,0.0,0.0,0.0
gen=139_member=3835_pso,0.962637,1.0,0.0,1.0,0.0,0.00199641,0.0,0.807823,0.0,0.0,0.0,0.129334,0.0,0.0,0.0,0.0,0.0,0.0421079,0.378271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=139_member=3852_pso,0.65054,1.0,0.0,1.0,0.0,0.045032,0.0,1.0,0.693787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174788,0.0,0.00884876
gen=139_member=3879_pso,0.653275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.388155,0.0,0.0
gen=140_member=3919_pso,0.671685,0.615498,0.0,0.938747,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0136077,0.0,0.0,0.0,0.0,0.0,0.0,0.95946,0.0,0.0,0.0,0.0,0.0,0.0,0.995921,0.0,0.0,0.0,0.0
gen=140_member=3923_pso,0.0197084,0.0,0.0,1.0,0.0,0.102314,0.0,0.902575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.166492,0.0,0.0
gen=141_member=4003_pso,0.182478,0.364686,0.0,0.710686,0.0,0.00700855,0.0,1.0,0.0110429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923147,0.0,0.0661201,0.0,0.0
gen=141_member=4061_pso,0.286741,0.805429,0.0,0.0,0.0,0.0891207,0.0,0.0,0.765777,0.0,0.0,0.435607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=141_member=4064_pso,0.669824,1.0,0.0,0.0,0.0,0.00543804,0.0,1.0,0.107704,0.0,0.0,0.0,0.0,0.116377,0.0,0.0,0.0,0.0,0.863192,0.0,0.0,0.0,0.0,0.0,0.0,0.589477,0.0,0.130026,0.0,0.0
gen=141_member=4076_pso,0.626635,0.0,0.0,0.556937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747893,0.0,0.0,0.0,0.000604287
gen=142_member=4115_pso,0.337785,1.0,0.0,0.776075,0.0,0.507842,0.0,0.0,1.0,0.0,0.0,0.0690754,0.0,0.0,0.0,0.0,0.0,0.0,0.130679,0.0,0.0,0.0,0.0,0.0,0.0,0.693667,0.0,0.0858507,0.0,8.89425e-05
gen=142_member=4187_pso,0.0765603,0.0,0.0,1.0,0.0,0.0,0.0,0.78894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=143_member=4247_pso,0.0575428,0.492928,0.0,0.54956,0.0,0.117269,0.0,0.23197,1.0,0.0,0.0,0.120324,0.0,0.0,0.0,0.0,0.0,0.0,0.262096,0.0,0.0,0.0,0.0,0.0,0.0,0.853427,0.0,0.323723,0.0,0.0
gen=144_member=4353_pso,0.280459,0.561967,0.0,0.0,0.0,0.415027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.344146,0.0,0.0
gen=144_member=4362_pso,0.222856,0.0,0.0,0.513158,0.0,0.0966064,0.0,0.752379,0.0,0.0,0.0,0.0,0.0,0.0113637,0.0,0.0,0.0,0.0,0.664353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=144_member=4363_pso,0.158788,0.855431,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.941524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=144_member=4376_pso,0.653964,0.00896541,0.0,0.0,0.0,0.479372,0.0,0.0,0.875482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.344163,0.0,0.0
gen=144_member=4397_pso,0.142098,0.998757,0.0,0.275393,0.0,0.0256512,0.0,0.0,0.9602,0.0,0.0,0.214355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=145_member=4410_pso,0.859257,0.523626,0.0,0.0,0.0,0.142775,0.0,0.114828,0.114664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997753,0.0,0.0,0.0,0.0
gen=145_member=4440_pso,0.356218,1.0,0.0,0.925842,0.0,0.450103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760169,0.0,0.124181,0.0,0.0
gen=145_member=4453_pso,0.150746,0.00729369,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.96029,0.0,0.0
gen=145_member=4458_pso,0.538028,0.292359,0.0,0.107917,0.0,1.0,0.0,0.466207,0.764082,0.0,0.0,0.0139956,0.0,0.0,0.0,0.0,0.0,0.0,0.284821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gen=145_member=4459_pso,0.124964,0.0,0.0,0.00239328,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641693,0.0,0.0122357,0.0,0.0
gen=145_member=4462_pso,0.762357,0.54308,0.0,0.243883,0.0,0.94975,0.0,0.67815,0.2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260419,0.0,0.0988739,0.0,0.0
gen=145_member=4468_pso,0.693188,0.0,0.0,0.298914,0.0,0.0,0.0,0.893297,0.101913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176899,0.0,0.0,0.0,0.0,0.0,0.0,0.361455,0.0,0.0162899,0.0,0.0
gen=145_member=4478_pso,0.000110429,0.615153,0.0,0.631194,0.0,0.0,0.0,1.0,0.00960715,0.0,0.0,0.403096,0.0,0.0818028,0.0,0.0,0.0,0.0,0.978703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.276178,0.0,0.0
